name,formula,category,subcategory,density,melting_point,boiling_point,thermal_conductivity,specific_heat,thermal_expansion,electrical_resistivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,poissons_ratio,notes,source,mp_material_id,glass_transition_temp,heat_deflection_temp,processing_temp_min_c,processing_temp_max_c,crystallinity
Aluminum,Al,Metal,Non-Ferrous,2.7,933.0,2792.0,237.0,897.0,23.1,2.65e-08,35.0,90.0,70.0,17.0,0.33,,Curated,,,,,,
Copper,Cu,Metal,Non-Ferrous,8.96,1358.0,2835.0,401.0,385.0,16.5,1.68e-08,70.0,220.0,120.0,35.0,0.34,,Curated,,,,,,
Iron,Fe,Metal,Ferrous,7.87,1811.0,3134.0,80.0,449.0,11.8,9.71e-08,80.0,400.0,211.0,60.0,0.29,,Curated,,,,,,
Titanium,Ti,Metal,Non-Ferrous,4.51,1941.0,3560.0,21.9,520.0,8.6,4.2e-07,140.0,220.0,116.0,70.0,0.32,,Curated,,,,,,
Nickel,Ni,Metal,Non-Ferrous,8.91,1728.0,3003.0,91.0,444.0,13.4,6.99e-08,59.0,317.0,200.0,64.0,0.31,,Curated,,,,,,
Zinc,Zn,Metal,Non-Ferrous,7.13,693.0,1180.0,116.0,388.0,30.2,5.96e-08,37.0,100.0,108.0,30.0,0.25,,Curated,,,,,,
Lead,Pb,Metal,Non-Ferrous,11.34,601.0,2022.0,35.3,128.0,28.9,2.08e-07,11.0,17.0,16.0,5.0,0.44,,Curated,,,,,,
Magnesium,Mg,Metal,Non-Ferrous,1.74,923.0,1363.0,156.0,1020.0,25.2,4.39e-08,20.0,165.0,45.0,30.0,0.29,,Curated,,,,,,
Silver,Ag,Metal,Precious,10.49,1235.0,2435.0,429.0,235.0,18.9,1.59e-08,55.0,170.0,83.0,25.0,0.37,,Curated,,,,,,
Gold,Au,Metal,Precious,19.32,1337.0,3129.0,318.0,129.0,14.2,2.44e-08,100.0,120.0,79.0,25.0,0.44,,Curated,,,,,,
Chromium,Cr,Metal,Refractory,7.19,2180.0,2944.0,94.0,449.0,4.9,1.25e-07,279.0,418.0,248.0,1060.0,0.21,,Curated,,,,,,
Tungsten,W,Metal,Refractory,19.25,3695.0,5828.0,173.0,134.0,4.5,5.28e-08,750.0,1500.0,411.0,360.0,0.28,,Curated,,,,,,
Molybdenum,Mo,Metal,Refractory,10.28,2896.0,4912.0,138.0,251.0,4.8,5.34e-08,324.0,630.0,329.0,230.0,0.31,,Curated,,,,,,
Platinum,Pt,Metal,Precious,21.45,2041.0,4098.0,72.0,133.0,8.8,1.05e-07,95.0,125.0,168.0,56.0,0.38,,Curated,,,,,,
Cobalt,Co,Metal,Non-Ferrous,8.9,1768.0,3200.0,100.0,421.0,13.0,6.24e-08,276.0,760.0,209.0,1043.0,0.31,,Curated,,,,,,
Tin,Sn,Metal,Non-Ferrous,7.26,505.0,2875.0,67.0,228.0,22.0,1.15e-07,14.0,23.0,50.0,5.0,0.36,,Curated,,,,,,
Vanadium,V,Metal,Refractory,6.11,2183.0,3680.0,31.0,489.0,8.4,1.97e-07,220.0,310.0,128.0,628.0,0.37,,Curated,,,,,,
Niobium,Nb,Metal,Refractory,8.57,2750.0,5017.0,54.0,265.0,7.3,1.52e-07,105.0,275.0,105.0,132.0,0.4,,Curated,,,,,,
Tantalum,Ta,Metal,Refractory,16.65,3290.0,5731.0,57.0,140.0,6.3,1.31e-07,170.0,270.0,186.0,873.0,0.34,,Curated,,,,,,
Palladium,Pd,Metal,Precious,12.02,1828.0,3236.0,72.0,246.0,11.8,1.08e-07,53.0,180.0,121.0,37.0,0.39,,Curated,,,,,,
Beryllium,Be,Metal,Non-Ferrous,1.85,1560.0,2742.0,200.0,1825.0,11.3,4e-08,240.0,400.0,287.0,130.0,0.08,,Curated,,,,,,
Rhenium,Re,Metal,Refractory,21.02,3459.0,5869.0,48.0,138.0,6.7,1.93e-07,290.0,1170.0,463.0,2450.0,0.3,,Curated,,,,,,
Hafnium,Hf,Metal,Refractory,13.31,2506.0,4876.0,23.0,144.0,5.9,3.31e-07,,485.0,141.0,,0.37,,Curated,,,,,,
Zirconium,Zr,Metal,Refractory,6.51,2128.0,4682.0,22.7,278.0,5.7,4.21e-07,45.0,170.0,88.0,,0.34,,Curated,,,,,,
Steel AISI 1020,Fe-C,Metal,Ferrous,7.85,1773.0,,51.0,486.0,12.0,1.6e-07,380.0,470.0,200.0,130.0,0.29,,Curated,,,,,,
Steel AISI 4340,Fe-Ni-Cr-Mo,Metal,Ferrous,7.85,1705.0,,44.0,475.0,12.3,2.48e-07,793.0,1000.0,205.0,300.0,0.29,,Curated,,,,,,
Stainless Steel 304,Fe-Cr-Ni,Metal,Ferrous,8.0,1673.0,,16.0,500.0,17.2,7.2e-07,215.0,505.0,193.0,129.0,0.29,,Curated,,,,,,
Stainless Steel 316,Fe-Cr-Ni-Mo,Metal,Ferrous,8.0,1648.0,,16.0,500.0,16.0,7.4e-07,290.0,580.0,193.0,170.0,0.27,,Curated,,,,,,
Stainless Steel 316L,Fe-Cr-Ni-Mo-C,Metal,Ferrous,8.0,1648.0,,16.0,500.0,16.0,7.4e-07,170.0,485.0,193.0,150.0,0.27,,Curated,,,,,,
Duplex Steel 2205,Fe-Cr-Ni-Mo-N,Metal,Ferrous,7.78,1475.0,,19.0,500.0,13.7,8.5e-07,450.0,620.0,200.0,290.0,0.3,,Curated,,,,,,
Brass 70Cu-30Zn,Cu-Zn,Metal,Non-Ferrous,8.53,1178.0,,120.0,380.0,19.9,6.2e-08,200.0,500.0,105.0,160.0,0.34,,Curated,,,,,,
Bronze 90Cu-10Sn,Cu-Sn,Metal,Non-Ferrous,8.78,1223.0,,50.0,380.0,18.0,1.3e-07,195.0,350.0,110.0,100.0,0.34,,Curated,,,,,,
